case_id,query_id,query,query_slice,candidate_source,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status
Q03_R01,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,1,9781590302088,Making a Change for Good,Cheri Huber,"In her new book, Huber takes on the topic of changing ourselves: how do we break ""bad habits"" and start good ones, whether it's in the realm of exercise, eating, shopping, or committing ourselves to a spiritual practice such as meditation? Huber points out that we've all been led to believe that if we were only a little better in some way, we'd find happiness. We're always thinking, ""Life isn't the way it should be - and it's my fault!"" But, Huber explains, no amount of self-punishment will ever make us happy or bring us control over life's problems. The happiness and peace we are looking for is ultimately found only in self-acceptance and kindness. MAKING A CHANGE FOR GOOD encourages us to focus on what is true for us in this moment so that our experience can be authentic, awake, honest, and joyful, with no need to hide out in addictive behaviors or run away from reality by using substances or other habitual escapes. This book includes a guided thirty-day program of daily meditation, contemplation, and journaling.",0.3.0,0.1.0,3,Personal growth is central; “finding purpose” is less explicit.,LABELLED
Q03_R05,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,5,9780142000212,Bridget Jones's Guide to Life,Helen Fielding,"Bridget Jones, the main character in the novel and the film, ""Bridget Jones's Diary,"" shares her own ideas on homemaking, cooking, relationships, weight loss, and other subjects in a parody of a self-help book.",0.3.0,0.1.0,1,It's a parody of self-help covering assorted life topics; actual personal growth/purpose isn't established strongly.,LABELLED
Q03_R20,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,20,9780688052300,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,"The novel, published in 1974, uses a long motorcycle trip to frame a prolonged exploration of the world of ideas, about life and how best to live it. It references perspectives from Western and Eastern Civilizations as it explores the central question of the how to pursue technology so that human life is enriched rather than degraded. Narrated in the first person, it incorporates a parallel presentation of trip details and an ongoing retrospective concerning dramatic events from the Narrator's past, creating rich symbolism and including numerous analogies reinforcing the overall theme of coming to terms with the mysteries of why we exist and how best to live.",0.3.0,0.1.0,3,finding purpose theme is implied,LABELLED
Q03_R50,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,50,9780684845777,Unlimited Power,Tony Robbins,"Anthony Robbins calls it the new science of personal achievement. You'll call it the best thing that ever happened to you. If you have ever dreamed of a better life, Unlimited Power will show you how to achieve the extraordinary quality of life you desire and deserve, and how to master your personal and professional life. Anthony Robbins has proven to millions through his books, tapes, and seminars that by harnessing the power of the mind you can do, have, achieve, and create anything you want for your life. He has shown heads of state, royalty, Olympic and professional athletes, movie stars, and children how to achieve. With Unlimited Power, he passionately and eloquently reveals the science of personal achievement and teaches you: * How to find out what you really want * The Seven Lies of Success * How to reprogram your mind in minutes to eliminate fears and phobias * The secret of creating instant rapport with anyone you meet * How to duplicate the success of others * The Five Keys to Wealth and Happiness Unlimited Power is a revolutionary fitness book for the mind. It will show you, step by step, how to perform at your peak while gaining emotional and financial freedom, attaining leadership and self-confidence, and winning the cooperation of others. It will give you the knowledge and the courage to remake yourself and your world. Unlimited Power is a guidebook to superior performance in an age of success.",0.3.0,0.1.0,4,directly satisfies personal growth and finding purpose aspects,LABELLED
Q03_NEG,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,random_negative_candidate,,9780446579780,The Coming Economic Collapse,Stephen Leeb;Glen Strathy,"In this incredibly timely book,renowned economist Stephen Leeb shows how surging oilprices will contribute to a huge economic collapse bysoaring to over $100, and perhaps $200, a barrel- andtells how you can avoid the pitfalls of the upcomingcrisis.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q04_R01,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,1,9780618894642,Children of Húrin,John Ronald Reuel Tolkien,"A fantasy adventure saga set in the early days of Middle-Earth features humans and elves, dwarves and dragons, orcs and dark sorcerers clashing in an epic battle between good and evil.",0.3.0,0.1.0,3,"directly satisfies fantasy,magic and danger aspects but
 journey aspect is missing",LABELLED
Q04_R05,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,5,9781416903437,Wild Magic,Tamora Pierce,"Thirteen-year-old DaIne has always had a knack with animals, but it's not until she's forced to leave home that she realizes it's more than a knack -- it's magic. With this wild magic, not only can Daine speak to animals, but also she can make them obey her. Daine takes a job handling horses for the Queen's Riders, where she meets the master mage Numair and becomes his student. Under Numair's guidance, Daine explores the scope of her magic. But she begins to sense other beings too: immortals. These bloodthirsty monsters have been imprisoned in the Divine Realms for the past four hundred years, but now someone has broken the barrier. It's up to Daine and her friends to defend their world from an immortal attack.",0.3.0,0.1.0,3,"directly satisfies fantasy,magic and danger aspects but
 journey aspect is missing",LABELLED
Q04_R20,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,20,9780441009657,The Mirror of Merlin,T. A. Barron,Merlin must find his stolen sword in order to repel an encroaching evil intent on destroying the magic isle of Fincayra. But first he must confront a magical mirror that alters one's destiny.,0.3.0,0.1.0,3,"Fantasy, magic, danger and a quest are all evident; only the “journey” aspect is weak.",LABELLED
Q04_R50,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,50,9780425214244,Master of Dragons,Angela Knight,"When her body is invaded by a powerful spirit, Nineva Morrow, a magically gifted fairy princess, becomes ensnared in a web of courtly intrigue where a renegade known as the Dragon Knight holds the key to her fate and her heart. Original.",0.3.0,0.1.0,2,Only magic is mentioned directly with no hint of dangerous journey,LABELLED
Q04_NEG,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,random_negative_candidate,,9780425179611,It's Not About the Bike,Lance Armstrong,"The champion cyclist recounts his diagnosis with cancer, the grueling treatments during which he was given a less than twenty percent chance for survival, his surprising victory in the 1999 Tour de France, and the birth of his son.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q05_R01,Q05,A historical book about war and political conflict,historical,semantic_retrieval,1,9780195119206,Ride of the Second Horseman,Robert L. O'Connell,"""Accurst be he that first invented war,"" wrote Christopher Marlowe--a declaration that most of us would take as a literary, not literal, construction. But in this sweeping overview of the rise of civilization, Robert O'Connell finds that war is indeed an invention--an institution that arosedue to very specific historical circumstances, an institution that now verges on extinction. In Ride of the Second Horseman, O'Connell probes the distant human past to show how and why war arose. He begins with a definition that distinguishes between war and mere feuding: war involves group rather than individual issues, political or economic goals, and direction by some governmentalstructure, carried out with the intention of lasting results. With this definition, he finds that ants are the only other creatures that conduct it--battling other colonies for territory and slaves. But ants, unlike humans, are driven by their genes; in humans, changes in our culture and subsistencepatterns, not our genetic hardware, brought the rise of organized warfare. O'Connell draws on anthropology and archeology to locate the rise of war sometime after the human transition from nomadic hunting and gathering to agriculture, when society split between farmers and pastoralists. Around 5500BC, these pastoralists initiated the birth of war with raids on Middle Eastern agricultural settlements. The farmers responded by ringing their villages with walls, setting off a process of further social development, intensified combat, and ultimately the rise of complex urban societies dependentupon warfare to help stabilize what amounted to highly volatile population structures, beset by frequent bouts of famine and epidemic disease. In times of overpopulation, the armies either conquered new lands or self-destructed, leaving fewer mouths to feed. In times of underpopulation, slaves weretaken to provide labor. O'Connell explores the histories of the civilizations of ancient Sumeria, Egypt, Assyria, China, and the New World, showing how war came to each and how it adapted to varying circumstances. On the other hand, societies based on trade employed war much more selectively andpragmatically. Thus, Minoan Crete, long protected from marauding pastoralists, developed a wealthy mercantile society marked by unmilitaristic attitudes, equality between men and women, and a relative absence of class distinctions. In Assyria, by contrast, war came to be an end in itself, in aculture dominated by male warriors. Despite the violence in the world today, O'Connell finds reason for hope. The industrial revolution broke the old patterns of subsistence: war no longer serves the demographic purpose it once did. Fascinating and provocative, Ride of the Second Horseman offers a far-reaching tour of human historythat suggests the age-old cycle of war may now be near its end.",0.3.0,0.1.0,3,poltical conflict aspect is missing,LABELLED
Q05_R05,Q05,A historical book about war and political conflict,historical,semantic_retrieval,5,9780375760525,Paris 1919,Margaret MacMillan,"National Bestseller New York Times Editors’ Choice Winner of the PEN Hessell Tiltman Prize Winner of the Duff Cooper Prize Silver Medalist for the Arthur Ross Book Award of the Council on Foreign Relations Finalist for the Robert F. Kennedy Book Award For six months in 1919, after the end of “the war to end all wars,” the Big Three—President Woodrow Wilson, British prime minister David Lloyd George, and French premier Georges Clemenceau—met in Paris to shape a lasting peace. In this landmark work of narrative history, Margaret MacMillan gives a dramatic and intimate view of those fateful days, which saw new political entities—Iraq, Yugoslavia, and Palestine, among them—born out of the ruins of bankrupt empires, and the borders of the modern world redrawn.",0.3.0,0.1.0,3,war is not the main experience,LABELLED
Q05_R20,Q05,A historical book about war and political conflict,historical,semantic_retrieval,20,9780143104902,Black Lamb and Grey Falcon,Rebecca West,"Written on the brink of World War II, West's classic examination of the history, people, and politics of Yugoslavia is a magnificent blend of travel journal, cultural commentary, and historical insight.",0.3.0,0.1.0,3,war is not the main experience,LABELLED
Q05_R50,Q05,A historical book about war and political conflict,historical,semantic_retrieval,50,9780340774779,"The Road to War, 1933-1939",Andrew Hunt,"This text uses a source-based approach to study the origins of World War II. Activities and end-of-chapter questions are pitched at Intermediate level 1 and 2, and exam structure and extended-response questions are also covered.",0.3.0,0.1.0,3,"It explicitly studies the origins of WWII, so both history and war are central. Political conflict is at least implicit.",LABELLED
Q05_NEG,Q05,A historical book about war and political conflict,historical,random_negative_candidate,,9780385491082,Lady Oracle,Margaret Atwood,"A sardonic novel follows the bored wife of an anti-nuclear activist on a fantastic adventure from Canada to Italy, involving literary fame, a blackmailing reporter, menacing plots, passionate trysts, and life in death. Reissue.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q06_R01,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,1,9780765308702,What Dreams May Come,Richard Matheson,"The New York Times bestseller A LOVE THAT TRANSCENDS HEAVEN AND HELL What happens to us after we die? Chris Nielsen had no idea, until an unexpected accident cut his life short, separating him from his beloved wife, Annie. Now Chris must discover the true nature of life after death. But even Heaven is not complete without Annie, and when tragedy threatens to divide them forever, Chris risks his very soul to save Annie from an eternity of despair. Richard Matheson's powerful tale of life---and love---after death was the basis for the Oscar-winning film starring Robin Williams.",0.3.0,0.1.0,3,grief and loss are central themes but learning to live again is implied,LABELLED
Q06_R05,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,5,9780375706332,The Tiny One,Eliza Minot,"Grieving over the death of her mother, killed in a winter car accident in Massachusetts, young Via Revere copes with her anguish and loss by vividly recalling the events of the day her mother died. A first novel. Reprint. 25,000 first printing.",0.3.0,0.1.0,3,Grief/loss/coping are direct;“learning to live again” is not sufficiently explicit,LABELLED
Q06_R20,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,20,9780449001172,Wartime Lies,Louis Begley,"A haunting, unforgettable novel about an orphaned boy and his gallant aunt, and how, assuming false identities, they survive the horrors of war. Louis Begley's extraordinary novel is a work of wisdom and lyric power about the complex, terrifying process of growing up when the adult world has become insane.",0.3.0,0.1.0,2,grief and loss are implied while surviving is the central theme,LABELLED
Q06_R50,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,50,9780060977498,The God of Small Things,Arundhati Roy,"A debut novel of dark foreboding and family tragedy that won the prestigious Booker Prize traces the decline of one family in Southern India in the late sixties, which begins with an episode of forbidden love. Reprint. Tour.",0.3.0,0.1.0,1,"loss is incidental via the theme of family tragedy but grief and learning
to live again after loss is not the central theme",LABELLED
Q06_NEG,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,random_negative_candidate,,9780310259664,Journey into God's Word,J. Scott Duvall;J. Daniel Hays,"Life is a journey, and like any journey, it requires an accurate, reliable roadmap to get us where we need to go. God has provided such a guide in his Word. But just as a navigator needs to learn how to interpret all the contours and symbols of a map, so also we need to be able to understand how the Bible communicates its directions to us. Journey Into God's Word helps Bible readers acquire these skills and become better at reading, interpreting, and applying the Bible to life. This abridgment of the bestselling college/seminary textbook Grasping God's Word takes the proven principles from that book and makes them accessible to people in the church. It starts with general principles of interpretation, then moves on to apply those principles to specific genres and contexts. Hands-on exercises guide readers through the interpretation process, with an emphasis on real-life application.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q07_R01,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,1,9780099429166,Turtle Moon,Alice Hoffman,"""The story of a divorced woman, her disillusioned teenage son, and the events that change their lives in ways both simple and extraordinary. When Keith Rosen runs away from his Florida home - inexplicably taking along a motherless baby - his mother is perplexed and terrified. She takes off on her own journey to find him.""--Back cover.",0.3.0,0.1.0,4,"A story about a complicated relationship between a parent and child
is the central theme of the book",LABELLED
Q07_R05,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,5,9780802136688,This boy's life,Tobias Wolff,"The author chronicles the tumultuous events of his early life, discussing his parents' divorce, the nomadic wanderings with his mother that followed, and the strange and eventful process of growing up.",0.3.0,0.1.0,3,"relationship between a parent and child
is the central theme of the book but the compicated nature is only implied",LABELLED
Q07_R20,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,20,9780753819920,The Orange Girl,Jostein Gaarder,"'My father died eleven years ago. I was only four then. I never thought I'd hear from him again, but now we're writing a book together' To Georg Røed, his father is no more than a shadow, a distant memory. But then one day his grandmother discovers some pages stuffed into the lining of an old red pushchair. The pages are a letter to Georg, written just before his father died, and a story, 'The Orange Girl'. But 'The Orange Girl' is no ordinary story - it is a riddle from the past and centres around an incident in his father's youth. One day he boarded a tram and was captivated by a beautiful girl standing in the aisle, clutching a huge paper bag of luscious-looking oranges. Suddenly the tram gave a jolt and he stumbled forward, sending the oranges flying in all directions. The girl simply hopped off the tram leaving Georg's father with arms full of oranges. Now, from beyond the grave, he is asking his son to help him finally solve the puzzle of her identity.",0.3.0,0.1.0,3,The deceased father's letter to his son is structurally central to the story.,LABELLED
Q07_R50,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,50,9780140286274,The Deep End of the Ocean,Jacquelyn Mitchard,"The disappearance of her three-year-old son Ben threatens to drive a wedge between Beth Cappadora and her husband, Pat, and transforms her older son into a troubled delinquent, until one day nine years later when Ben comes back into their lives",0.3.0,0.1.0,3,"A missing three-year-old son, the effect on his mother and older brother, and his eventual return make parent-child relationships central",LABELLED
Q07_NEG,Q07,A story about a complicated relationship between a parent and child,relationship,random_negative_candidate,,9780143036661,March,Geraldine Brooks,"In a story inspired by the father character in Little Women and drawn from the journals and letters of Louisa May Alcott's father Bronson, a man leaves behind his family to serve in the Civil War and finds his marriage and beliefs profoundly challenged by his experiences. Reader's Guide included. Reprint.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q08_R01,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,1,9780131871656,Astronomy,Eric Chaisson;Stephen McMillan,"This introduction to astronomy features an exceptionally clear writing style, an emphasis on critical thinking and visualization, and a leading-edge technology program-including an accompanying full-featured electronic multimedia version of the book and companion Web site. A dynamic art program includes numerous radio, infrared, ultraviolet, X-ray, and gamma-ray images and transparent full-color overlays. The book presents scientific literacy in the context of astronomy, with the aim of teaching studentsto think critically and analytically about the physical world and the development of science. The text requires a minimum level of simple algebra and trigonometry. It presents an explanation of key physical principles and techniques like Kepler and Newton's laws, spectroscopy and distance measurement (the cosmic distance ladder is used throughout).",0.3.0,0.1.0,4,beginner friendly and central theme is astronomy,LABELLED
Q08_R05,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,5,9780465081981,Stephen Hawking's Universe,David Filkin,"Stephen Hawking's A Brief History of Time has sold over 9 million copies worldwide. Now, in everyday language, Stephen Hawking's Universe reveals step-by-step how we can all share his understanding of the cosmos, and our own place within it. Stargazing has never been the same since cosmologists discovered that galaxies are moving away from each other at an extraordinary speed. It was this understanding of the movement of galaxies that allowed scientists to develop a theory of how the universe was created—the Big Bang theory. Working with this theory, Stephen Hawking and other physicists felt challenged to come up with a scientific picture that would tackle the fundamental question: what is the nature of the universe? Stephen Hawking's Universe charts this work and provides simple explanations for phenomena that arouse our curiosity. This work is a voyage of discovery with an astonishing set of conclusions that will enable us to understand how matter can be produced from nothing at all and will provide us with an explanation for the basis of our existence and that of everything around us.",0.3.0,0.1.0,4,"It explicitly promises “everyday language,” “simple explanations,” the cosmos, galaxies, Big Bang and the nature of the universe. This is almost exactly the requested book.",LABELLED
Q08_R20,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,20,9780553053401,A Brief History of Time,Stephen Hawking,"""Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.""--BOOK JACKET.",0.3.0,0.1.0,2,both central themes - astronomy and universe are implied,LABELLED
Q08_R50,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,50,9781414306346,Looking for God in Harry Potter,John Granger,"Provides a Christian interpretation of the first six books, arguing that the series supports biblical teaching as opposed to the practice of the occult, and offers insights into character names, imagery, and themes.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q08_NEG,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,random_negative_candidate,,9781416909057,Amelia's Notebook,Marissa Moss,"The hand-lettered contents of a nine-year-old girl's notebook, in which she records her thoughts and feelings about moving, starting school, and dealing with her older sister, also includes reflections on keeping her old best friend and making a new one.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q09_R01,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,1,9780452284234,1984,George Orwell,"Portrays a terrifying vision of life in the future when a totalitarian government, considered a ""Negative Utopia,"" watches over all citizens and directs all activities, becoming more powerful as time goes by.",0.3.0,0.1.0,3,"matches themes of dystopia,authoritarian control but resistance is implied or missing",LABELLED
Q09_R05,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,5,9780312890384,Pacific Edge,Kim Stanley Robinson,"Set at the end of the 21st century in California, this story revolves around a seemingly perfect society. At first, bio-architect Kevin Claiborne thinks he has indeed found Utopia, but gradually events lead him to discover the corruption beneath the surface.",0.3.0,0.1.0,2,only matches dystopia,LABELLED
Q09_R20,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,20,9780375703843,Glamorama,Bret Easton Ellis,"A young man from the fashionable, celebrityobsessed society of New York finds himself gradually drawn into a shadowy, dark side of that society, until he becomes trapped in terrifying world in which politics and family, terrorism and fame become inextricably intertwined. Reprint. 50,000 first printing.",0.3.0,0.1.0,1,weak match with dystopian society,LABELLED
Q09_R50,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,50,9780349116303,Long Walk to Freedom,Nelson Mandela,"The riveting memoirs of the outstanding moral and political leader of our time, LONG WALK TO FREEDOM brilliantly recreates the drama of the experiences that helped shape Nelson Mandela's destiny. From his imprisonment on Robben Island to his remarkable journey to freedom and inauguration as President this book describes Mandela's frustrations and strength of heart as well as the overwhelming joy of freedom and power. Emotive and compelling, it completes the story of an epic life. 'Burns with the luminosity of faith in the invincible nature of human hope and dignity . . . Unforgettable' ANDRE BRINK 'Enthralling . . . Mandela emulates the few great political leaders such as Lincoln and Gandhi, who go beyond mere consensus and move out ahead of their followers to break new ground' Donald Woods in the SUNDAY TIMES",0.3.0,0.1.0,1,"The description provides a genuine but weak semantic connection through imprisonment and the journey to freedom. It does not provide sufficient description-grounded evidence for authoritarian control, a dystopian setting, or explicit political resistance, so the relevance is incidental rather than partial.",LABELLED
Q09_NEG,Q09,A dystopian story about authoritarian control and resistance,genre_theme,random_negative_candidate,,9780141000589,Sammlung,William Shakespeare,This major new complete edition of Shakespeare's works combines accessibility with the latest scholarship. Each play and collection of poems is preceded by a substantial introduction that looks at textual and literary-historical issues. The texts themselves have been scrupulously edited and are accompanied by same-page notes and glossaries. Particular attention has been paid to the design of the book to ensure that this first new edition of the twenty-first century is both attractive and approachable.,0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q10_R01,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,1,9780743250979,The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,"Outlining seven key organizational rules for improving effectiveness and increasing productivity at work and at home, a companion volume to The 7 Habits of Highly Effective People presents a step-by-step guide that includes in-depth exercises and solutions that teach the fundamentals of fairness, integrity, honesty, and dignity and help readers set goals, enhance relationships, and promote success. Original. 75,000 first printing.",0.3.0,0.1.0,3,"central themes are about teamwork, and building effective organizations but leadership is implied",LABELLED
