case_id,query_id,query,query_slice,candidate_source,sampling_bucket,sampling_target_rank,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status
U2_Q03_T02,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,T02,2.0,3.0,9780393040586,The Confident Child,T. E. Apter,"Focusing on children from age five to fifteen, the author shows parents how to help their children acquire self-esteem, problem-solving ability, social skills, and emotional control, and how to detect dangers to self-esteem during adolescence.",2.0.0,0.1.0,3,"strong match with personal growth, finding purpose aspect is missing  ",LABELLED
U2_Q03_T10,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,T10,10.0,11.0,9780749919443,Transform Your Life,Diana Cooper,"Diana Cooper believes we can all transform our lives if we really want to. This inspiring book will help you to be who you want to be and do what you want to do. It will help you to bring hidden blockages to the surface, establish new positive belief patterns, and make your dreams come true.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q03_T30,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,T30,30.0,31.0,9780671763794,Joy Within,Joan Goldstein;Manuela Soares,"Carefully avoiding and particular religious or spiritual point of view, this book offers a practical step-by-step guide to meditation for beginners. It explains what meditation is and details its many benefits, including inner peace, stress reduction, relaxation, and joy. Illustrated.",2.0.0,0.1.0,2,benefits of medication meaningfully indicates personal growth but finding purpose aspect is missing,LABELLED
U2_Q03_T70,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,T70,70.0,71.0,9781572244252,Get Out of Your Mind & Into Your Life,Steven C. Hayes;Spencer Xavier Smith,"Features step-by step mindfulness and acceptance exercises for effective relief from emotional pain. This book develops acceptance and commitment therapy (ACT), a revolutionary direction in psychotherapy, into step-by-step exercises that readers can use to get relief from emotional pain.",2.0.0,0.1.0,1,relief from emotional pain incidentally matches with personal growth but finding purpose aspect is missing,LABELLED
U2_Q03_NEG,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,random_negative_candidate,NEG,,,9780345441034,Black House,Stephen King;Peter Straub,"A retired Los Angeles homicide detective living in the rural Wisconsin hamlet of Tamarack, Jack Sawyer is called in to assist the local police chief in solving a gruesome series of murders that causes Jack to experience inexplicable waking nightmares and draws him back to the Territories and an encounter with his own hidden past, in the long-awaited sequel to The Talisman. Reprint.",2.0.0,0.1.0,0,No match with personal growth and finding purpose,LABELLED
U2_Q04_T02,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,T02,2.0,3.0,9780595092147,Firedrake,Richard A. Knaak,"The New York Timesbestselling fantasy author Richard A. Knaak brings to print an epic realm of magic and intrigue! In a land ruled by the shape-lifting Dragon Kings, Cabe Bedlam is hunted for both the legacy he represents and the future he may bring. Yet, dragons may be the least of the dangers, for in a land drenched with sorcery, Cabe's very legacy may be what destroys him!",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q04_T10,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,T10,10.0,11.0,9780812551235,Drum Calls,Jo Clayton,"Once every generation, the two worlds of Clandair and Iomard magically move together, allowing people with special talents to walk between the worlds, but when young Cymel sees a strange wizard hovering in the air, she realizes the danger that threatens. Reprint.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q04_T30,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,T30,30.0,31.0,9780060556501,"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,"Narnia: A magical land full of wonder and excitement. A place where you will meet Aslan, the bravest of lions, and a beautiful but wicked Witch. There are lots of other fabulous creatures too: giants and dwarfs and animals that talk. It all begins when four children -- Peter, Susan, Edmund, and Lucy -- discover a strange old wardrobe. Stepping inside, they find that it's stranger still, because behind all the fur coats there is a wondrous land of trees and mountains, all glistening with snow. The White Witch has spread an icy winter everywhere. Only Aslan can defeat her and reverse her wicked spell. The children must find the lion before it is too late. If they fail, the Witch will make them her prisoners forever. In the fifty years since it was written, The Lion, the Witch And the Wardrobe has become one of the great classics of children's literature. Now younger children can share the magical experience, stepping into a world of enchantment that will forever lure them back.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q04_T70,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,T70,70.0,70.0,9780192805348,Gulliver's Travels,Jonathan Swift;Claude Rawson;Ian Higgins,"""Gulliver's travels purports to be a travel book. It is a blend of fantasy and realism and describes the shipwrecked Gulliver's encounters with the inhabitants of four places: Lilliput, Brobdingnag, Laputa, and the country of the Houyhnhnms""--Provided byp",2.0.0,0.1.0,3,strong match with fantasy adventure and dangerous journeys aspect but magic part is missing,LABELLED
U2_Q04_NEG,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,random_negative_candidate,NEG,,,9780195145816,Philosophy of Mind,David John Chalmers,"This is a comprehensive collection of readings in the philosophy of mind, ranging from Descartes to the leading edge of the discipline. Extensive selections cover foundations, the nature of consciousness, and the nature of mental content.",2.0.0,0.1.0,0,NO match with fantasy adventure and dangerous journeys aspect and magic.,LABELLED
U2_Q05_T02,Q05,A historical book about war and political conflict,historical,semantic_retrieval,T02,2.0,3.0,9780684813219,Achilles in Vietnam,Jonathan Shay,"An original and groundbreaking book that examines the psychological devastation of war by comparing the soldiers of Homer’s Iliad with Vietnam veterans suffering from post-traumatic stress disorder. In this moving, dazzlingly creative book, Dr. Shay examines the psychological devastation of war by comparing the soldiers of Homer’s Iliad with Vietnam veterans suffering from post-traumatic stress disorder. A classic of war literature that has as much relevance as ever in the wake of the wars in Iraq and Afghanistan, it is a “transcendent literary adventure” (The New York Times) and “clearly one of the most original and most important scholarly works to have emerged from the Vietnam War” (Tim O’Brien, author of The Things They Carried).",2.0.0,0.1.0,3,"central theme is war, political conflict is absent",LABELLED
U2_Q05_T10,Q05,A historical book about war and political conflict,historical,semantic_retrieval,T10,10.0,11.0,9780330412445,Bosnia,Noel Malcolm,This work aims to set the war in the Balkans in its full historical and political context. This edition includes a chapter covering the events between 1993 and 1995.,2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q05_T30,Q05,A historical book about war and political conflict,historical,semantic_retrieval,T30,30.0,31.0,9780192822895,La Débâcle,Emile Zola;Elinor Dorday;Robert Lethbridge,"Zola wrote that 'my title speaks not merely of a war, but also of the crumbling of a regime and the end of a world'. The penultimate novel of the Rougon-Macquart cycle, La Debacle (1892) takes as its subject the dramatic events of the Franco-Prussian War and the Commune of 1870-71. During Zola's lifetime it was the bestselling of all his novels, praised by contemporaries for its epic sweep as well as its attention to historical detail. The novel seeks to explain why the Second Empire ended in a crushing military defeat and revolutionary violence. It focuses on ordinary soldiers, showing their bravery and suffering in the midst of circumstances they cannot control. Zola's descriptions are some of the most powerful he ever wrote. He skilfully integrates his narrative of events and the fictional lives of his characters to provide the finest account of this tragic chapter in the history of France. Often compared to War and Peace, La Debacle has been described as a 'seminal' work for all modern depictions of war.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q05_T70,Q05,A historical book about war and political conflict,historical,semantic_retrieval,T70,70.0,71.0,9780226777108,History of Political Philosophy,Leo Strauss;Joseph Cropsey,"This volume provides an unequaled introduction to the thought of chief contributors to the Western tradition of political philosophy from classical Greek antiquity to the twentieth century. Written by specialists on the various philosophers, this third edition has been expanded significantly to include both new and revised essays.",2.0.0,0.1.0,0,No match with war and political conflict,LABELLED
U2_Q05_NEG,Q05,A historical book about war and political conflict,historical,random_negative_candidate,NEG,,,9780743499484,The Dead Yard,Adrian McKinty,"In this breathtaking sequel to ""Dead I Well May Be,"" the mercenary Michael Forsythe is forced to infiltrate an Irish terrorist cell on behalf of the FBI, confronting murder, mayhem, and the prospect of his own death.",2.0.0,0.1.0,0,No match with war and political conflict,LABELLED
U2_Q06_T02,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,T02,2.0,4.0,9780061120077,A Tree Grows in Brooklyn,Betty Smith,"The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.",2.0.0,0.1.0,1,"incidental match with grief, no match with loss  and learning to live again",LABELLED
U2_Q06_T10,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,T10,10.0,11.0,9780060792176,Everything Is Illuminated tie-in,Jonathan Safran Foer,"With only a yellowing photograph in hand, a young man -- also named Jonathan Safran Foer -- sets out to find the woman who may or may not have saved his grandfather from the Nazis. Accompanied by an old man haunted by memories of the war; an amorous dog named Sammy Davis, Junior, Junior; and the unforgettable Alex, a young Ukrainian translator who speaks in a sublimely butchered English, Jonathan is led on a quixotic journey over a devastated landscape and into an unexpected past. By turns comic and tragic, but always passionate, wildly inventive, and touched with an indelible humanity, this debut novel is a powerful, deeply felt story of searching: for the past, family, and truth.",2.0.0,0.1.0,3,"strong match with grief, loss, but learning to live again is missing",LABELLED
U2_Q06_T30,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,T30,30.0,31.0,9780440235163,The Smoke Jumper,Nicholas Evans,"A woman must choose between two men, best friends, that both love her, in a poignant story of love, loyalty, honor, and guilt set against the perilous backdrop of wilderness firefighting. By the author of The Horse Whisperer. Reprint.",2.0.0,0.1.0,0,"no match with  grief, loss, and learning to live again",LABELLED
U2_Q06_T70,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,T70,70.0,71.0,9780060924980,The Infinite Plan,Isabel Allende,"Selling more than 65,000 copies and topping bestseller lists around the world -- including Spain, Germany, Italy, and Latin America -- this novel tells the engrossing story of one man's quest for love and for his soul.",2.0.0,0.1.0,0,"No match with grief, loss, and learning to live again",LABELLED
U2_Q06_NEG,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,random_negative_candidate,NEG,,,9781570715839,Steppenwolf,Victor Skrebneski;Richard Christiansen,"To celebrate 25 years of extraordinary achievement by the legendary Steppenwolf Theatre Company of Chicago, acclaimed photographer Victor Skrebneski has created an impressive photography book featuring historical production highlights and exclusive portraits of America's most gifted ensemble of artists. Steppenwolf at 25 also contains personal essays penned by several notable American authors and playwrights, including Kurt Vonnegut, Sam Shepard, Don DeLillo, Richard Christiansen, Terry Johnson and Charles L Mee.",2.0.0,0.1.0,0,"no match with grief, loss, and learning to live again",LABELLED
U2_Q07_T02,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,T02,2.0,3.0,9780060564780,The Kindness of Strangers,Katrina Kittle,"A young widow raising two boys, Sarah Laden is struggling to keep her family together. But when a shocking revelation rips apart the family of her closest friend, Sarah finds herself welcoming yet another troubled young boy into her already tumultuous life. Jordan, a quiet, reclusive elementary school classmate of Sarah's son Danny, has survived a terrible ordeal. By agreeing to become Jordan's foster mother, Sarah will be forced to question the things she has long believed. And as the delicate threads that bind their family begin to unravel, all the Ladens will have to face difficult truths about themselves and one another—and discover the power of love necessary to forgive and to heal.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q07_T10,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,T10,10.0,11.0,9781573227162,Caucasia,Danzy Senna,"A debut novel explores the complications of race through the story of two daughters--one light-skinned and the other dark-skinned--of a black father and a white mother, who become torn apart by racial allegiances. Reprint.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q07_T30,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,T30,30.0,31.0,9780441748600,To Sail Beyond the Sunset,Robert A. Heinlein,"The author ties together themes and characters from his previous stories as he traces the life and loves of Maureen Johnson, the mother of Lazarus Long",2.0.0,0.1.0,0,no match with the parent-child relationship theme,LABELLED
U2_Q07_T70,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,T70,70.0,71.0,9781419317262,The Curious Incident of the Dog in the Night-time,Mark Haddon,"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother.",2.0.0,0.1.0,0,central theme is murder investigation,LABELLED
U2_Q07_NEG,Q07,A story about a complicated relationship between a parent and child,relationship,random_negative_candidate,NEG,,,9780446608282,Death of an Addict,M. C. Beaton,"From the author of the Agatha Raisin television series...DEATH OF AN ADDICT: A Hamish Macbeth MysteryFormer drug addict Tommy Jarret rents a Scottish chalet to check out reports of a sea monster. But when he is found dead of an apparent drug overdose, constable Hamish Macbeth suspects foul play. Teaming with Glasgow Detective Inspector Olivia Chater, Macbeth goes undercover and dives into the underworld to root out a cartel secretly entrenched in the Highlands.",2.0.0,0.1.0,0,central theme is murder investigation,LABELLED
U2_Q08_T02,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,T02,2.0,3.0,9780471265184,Astronomy,Dinah L. Moché,"""A lively, up-to-date account of the basic principles of astronomy and exciting current field of research.""-Science Digest For a quarter of a century, Astronomy: A Self-Teaching Guide has been making students and amateur stargazers alike feel at home among the stars. From stars, planets and galaxies, to black holes, the Big Bang and life in space, this title has been making it easy for beginners to quickly grasp the basic concepts of astronomy for over 25 years. Updated with the latest discoveries in astronomy and astrophysics, this newest edition of Dinah Moch?'s classic guide now includes many Web site addresses for spectacular images and news. And like all previous editions, it is packed with valuable tables, charts, star and moon maps and features simple activities that reinforce readers' grasp of basic concepts at their own pace, as well as objectives, reviews, and self-tests to monitor their progress. Dinah L. Moch?, PhD (Rye, NY), is an award-winning author, educator, and lecturer. Her books have sold over nine million copies in seven languages.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q08_T10,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,T10,10.0,11.0,9780192854520,Augustine: A Very Short Introduction,Henry Chadwick,"Very Short Introductions offer stimulating, accessible introductions to a wide variety of subjects, demonstrating the finest contemporary thinking about their central problems and issues.'magisterial and highly readable.' -Bookseller",2.0.0,0.1.0,0,no match with astronomy and universe,LABELLED
U2_Q08_T30,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,T30,30.0,31.0,9780764122781,Aquatic Turtles,Richard D. Bartlett;Patricia Bartlett,"Titles in this series present basic information on reptiles plus specific instructions for their care. Each book opens with a description of the animal as it exists in its natural habitat, then continues with information on its life cycle and distribution in nature. Readers then get advice on selecting a good specimen, determining sex, and providing proper housing, feeding, and health care. Books are heavily illustrated with instructive color photos.",2.0.0,0.1.0,0,no match with astronomy and universe,LABELLED
U2_Q08_T70,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,T70,70.0,71.0,9780679731375,A History of the World in 10 1/2 Chapters,Julian Barnes,"Offers an idiosyncratic, revisionist history of life on planet Earth, from a playful account of Noah by a stowaway on the Ark, to the spiritual odyssey of a American astronaut",2.0.0,0.1.0,0,No match with astronomy and the universe,LABELLED
U2_Q08_NEG,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,random_negative_candidate,NEG,,,9780821776056,See how She Dies,Lisa Jackson,"First published in 1994 as ""Treasures,"" the first novel of romantic suspense by the ""New York Times"" bestselling author of ""Whispers"" is now retitled, repackaged, and rewritten to include more suspense, intrigue, and atmosphere. Original.",2.0.0,0.1.0,0,No match with astronomy and the universe,LABELLED
U2_Q09_T02,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,T02,2.0,3.0,9780151010264,Animal Farm and 1984,George Orwell,"George Orwell's classic satire on totalitarianism in which farm animals overthrow their human owner and set up their own government is accompanied by ""1984,"" his portrayal of life in a future time when a totalitarian government watches over all citizens a",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q09_T10,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,T10,10.0,11.0,9780060882860,The Autumn of the Patriarch,Gabriel Garcia Marquez,"One of Gabriel García Márquez's most intricate and ambitious works, The Autumn of the Patriarch is a brilliant tale of a Caribbean tyrant and the corruption of power. From charity to deceit, benevolence to violence, fear of God to extreme cruelty, the dictator of The Autumn of the Patriarch embodies the best and the worst of human nature. Gabriel García Márquez, the renowned master of magical realism, vividly portrays the dying tyrant caught in the prison of his own dictator-ship. Employing an innovative, dreamlike style, and overflowing with symbolic descriptions, the novel transports the reader to a world that is at once fanciful and real.",2.0.0,0.1.0,3,good match with dystopian story about authoritarian control but resistance aspect is missing,LABELLED
U2_Q09_T30,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,T30,30.0,31.0,9780060957353,The Darling,Russell Banks,"Set in Liberia and the United States from 1975 through 1991, The Darling is the story of Hannah Musgrave, a political radical and member of the Weather Underground. Hannah flees America for West Africa, where she and her Liberian husband become friends of the notorious warlord and ex-president, Charles Taylor. Hannah's encounter with Taylor ultimately triggers a series of events whose momentum catches Hannah's family in its grip and forces her to make a heartrending choice.",2.0.0,0.1.0,0,"no match with dystopia, authoritarian control and resistance",LABELLED
U2_Q09_T70,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,T70,70.0,70.0,9780349113005,Embrace,Mark Behr,"EMBRACE is the story of the awakening of Karl De Man a thirteen-year-old student at the Berg, an exclusive academy for boys in South Africa in the 1970s. Interwoven with the storyline about Karl at school are memories from Karl's childhood and first years at the Berg, presented as an ever-growing patchwork of the many influences on his development: growing up on a game reserve in East Africa, intensely aware of landscape and wildlife; a loving and close family, but a traditional one that will never easily accept Karl's true self: being sent away to school and the formation of new friendships and relationships. But, after threats and punishments handed out after casual sexual games in the dorm, Karl falls in love. He simultaneously has secret affairs with his best friend, Dominic, who is the son of liberal parents, and his choirmaster, Jacques Cilliers. The great strength of the novel is that it places Karl's passions on a wider canvas, focusing on his raw passions and elemental drives against the landscapes of Africa. It is a staggering follow-up to Mark Behr's award-winning first novel, THE SMELL OF APPLES.",2.0.0,0.1.0,0,"no match with dystopia, authoritarian control and resistance",LABELLED
U2_Q09_NEG,Q09,A dystopian story about authoritarian control and resistance,genre_theme,random_negative_candidate,NEG,,,9781569471036,The Rattle-Rat,Janwillem Van de Wetering,"Investigating a murder in his parents' remote homeland of Friesland, Detective Adjutant Grijpstra gets nowhere working within established police guidelines--yet his assistant de Gier uncovers vital clues while learning about Friesian culture",2.0.0,0.1.0,0,"no match with dystopia, authoritarian control and resistance",LABELLED
U2_Q10_T02,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,T02,2.0,3.0,9780131494848,Leadership in Organizations,Gary A. Yukl,This text provides the most comprehensive survey of the major theories and research on leadership and managerial effectiveness in formal organizations with practical suggestions for improving leadership skills.,2.0.0,0.1.0,3,"strong match with leadership and building effective organizations, teamwork is implied",LABELLED
U2_Q10_T10,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,T10,10.0,11.0,9780743297301,The SPEED of Trust,Stephen R. Covey;Rebecca R. Merrill,"The son of the author of the best-selling 7 Habits series explains how trust is a key catalyst for personal and organizational success in the twenty-first century, in a guide for businesspeople that demonstrates how to inspire trust while overcoming bureaucratic obstacles. 100,000 first printing.",2.0.0,0.1.0,1,personal and organizational success incidently matches building effective organizations,LABELLED
U2_Q10_T30,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,T30,30.0,31.0,9780936197449,"Yes, Your Teen Is Crazy!",Michael J. Bradley,"A survival guide for parents helps beleagured adults navigate their childrens' teen years, with advice on how to turn adolescents into strong, confident, productive adults.",2.0.0,0.1.0,0,"no match with leadership, teamwork, and building effective organizations",LABELLED
U2_Q10_T70,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,T70,70.0,71.0,9780198782742,Contemporary Political Philosophy,Will Kymlicka,"""This new edition of Will Kymlicka's best selling critical introduction to contemporary political theory has been fully revised to include many of the most significant developments in Anglo-American political philosophy in the last 11 years, particularly the new debates on political liberalism, deliberative democracy, civic republicanism, nationalism, and cultural pluralism."" ""The book now includes two new chapters on citizenship theory and multiculturalism, in addition to updated chapters on utilitarianism, liberal egalitarianism, libertarianism, Marxism, communitarianism, and feminism. Extended guides to further reading have been added at the end of each chapter, listing the most important books and articles on each school of thought, as well as relevant journals and web sites.""--BOOK JACKET.",2.0.0,0.1.0,0,"No match with leadership, teamwork, and building effective organizations",LABELLED
