blind_label_id,query,title,authors,description,human_score,human_reason,review_status
B018,A book about personal growth and finding purpose,Black House,Stephen King;Peter Straub,"A retired Los Angeles homicide detective living in the rural Wisconsin hamlet of Tamarack, Jack Sawyer is called in to assist the local police chief in solving a gruesome series of murders that causes Jack to experience inexplicable waking nightmares and draws him back to the Territories and an encounter with his own hidden past, in the long-awaited sequel to The Talisman. Reprint.",,,UNLABELLED
B019,A dystopian story about authoritarian control and resistance,The Darling,Russell Banks,"Set in Liberia and the United States from 1975 through 1991, The Darling is the story of Hannah Musgrave, a political radical and member of the Weather Underground. Hannah flees America for West Africa, where she and her Liberian husband become friends of the notorious warlord and ex-president, Charles Taylor. Hannah's encounter with Taylor ultimately triggers a series of events whose momentum catches Hannah's family in its grip and forces her to make a heartrending choice.",,,UNLABELLED
B020,A suspenseful story involving crime and investigation,A Drink Before the War,Dennis Lehane,"Private detective partners Patrick Kenzie and Angela Gennaro are hired to find Jenna Angeline, a missing black cleaning woman who allegedly stole confidential state documents, but as their investigation becomes complicated by rival gang leaders, extortion, child prostitution, and assassination reaching to the highest levels of government, they discover that their target has been framed. Reprint. 15,000 first printing.",,,UNLABELLED
B021,"A thoughtful book about inequality, poverty, and how society distributes wealth",Pathologies of Power,Paul Farmer,"""Pathologies of Power"" uses harrowing stories of life and death to argue thatthe promotion of social and economic rights of the poor is the most importanthuman rights struggle of our times.",,,UNLABELLED
B022,"A thoughtful book about inequality, poverty, and how society distributes wealth",Aristotle's Nicomachean Ethics,Aristotle;Hippocrates George Apostle,"Aristotle's Nicomachean Ethics is perhaps one of the most influential treatise on moral philosophy. It is a central text in Greek ethics, a primary source of medieval ethics, and a stimulus to thought about morality. Questions discussed include: human happiness and welfare; the nature of a good person; the psychology of action and character; the virtues of character and intellect; praise, blame, and moral resposibility; practical reason; weakness of will; self-interest and the interests of others; the role of friendship in the good life; and the relation between pleasure and goodness.",,,UNLABELLED
B023,A book about personal growth and finding purpose,Transform Your Life,Diana Cooper,"Diana Cooper believes we can all transform our lives if we really want to. This inspiring book will help you to be who you want to be and do what you want to do. It will help you to bring hidden blockages to the surface, establish new positive belief patterns, and make your dreams come true.",,,UNLABELLED
B024,"A moving story about grief, loss, and learning to live again",Steppenwolf,Victor Skrebneski;Richard Christiansen,"To celebrate 25 years of extraordinary achievement by the legendary Steppenwolf Theatre Company of Chicago, acclaimed photographer Victor Skrebneski has created an impressive photography book featuring historical production highlights and exclusive portraits of America's most gifted ensemble of artists. Steppenwolf at 25 also contains personal essays penned by several notable American authors and playwrights, including Kurt Vonnegut, Sam Shepard, Don DeLillo, Richard Christiansen, Terry Johnson and Charles L Mee.",,,UNLABELLED
B025,A historical book about war and political conflict,The Dead Yard,Adrian McKinty,"In this breathtaking sequel to ""Dead I Well May Be,"" the mercenary Michael Forsythe is forced to infiltrate an Irish terrorist cell on behalf of the FBI, confronting murder, mayhem, and the prospect of his own death.",,,UNLABELLED
B026,"A moving story about grief, loss, and learning to live again",Everything Is Illuminated tie-in,Jonathan Safran Foer,"With only a yellowing photograph in hand, a young man -- also named Jonathan Safran Foer -- sets out to find the woman who may or may not have saved his grandfather from the Nazis. Accompanied by an old man haunted by memories of the war; an amorous dog named Sammy Davis, Junior, Junior; and the unforgettable Alex, a young Ukrainian translator who speaks in a sublimely butchered English, Jonathan is led on a quixotic journey over a devastated landscape and into an unexpected past. By turns comic and tragic, but always passionate, wildly inventive, and touched with an indelible humanity, this debut novel is a powerful, deeply felt story of searching: for the past, family, and truth.",,,UNLABELLED
B027,A dystopian story about authoritarian control and resistance,Animal Farm and 1984,George Orwell,"George Orwell's classic satire on totalitarianism in which farm animals overthrow their human owner and set up their own government is accompanied by ""1984,"" his portrayal of life in a future time when a totalitarian government watches over all citizens a",,,UNLABELLED
B028,A suspenseful story involving crime and investigation,Dominion,Randy Alcorn,"When a university professor is found murdered, a brilliant and quick-witted homicide detective, Ollie Chandler, suspects the murderer could be a fellow homicide detective, but as Ollie probes deeper, another detective is murdered.",,,UNLABELLED
B029,"An adventure inspired by mythology, gods, and legendary heroes",Summer of Night,Dan Simmons,"In the summer of 1960 in Elm Haven, Illinois, five 12-year-old boys forge the powerful bonds that a lifetime of change will not break. An ancient, sinister evil lurks in the dark, and when a long-silent bell peals in the middle of the deepest night, the people know it marks the beginning of terror. Now Mike, Duane, Dale, Harlen, and Kevin must wage a fraternal war of blood against an arcane abomination.",,,UNLABELLED
B030,"A thoughtful book about inequality, poverty, and how society distributes wealth",Wittgenstein's Vienna,Allan Janik;Stephen Toulmin,"This is a remarkable book about a man (perhaps the most important and original philosopher of our age), a society (the corrupt Austro-Hungarian Empire on the eve of dissolution), and a city (Vienna, with its fin-de siecle gaiety and corrosive melancholy). The central figure in this study of a crumbling society that gave birth to the modern world is Wittgenstein, the brilliant and gifted young thinker. With others, including Freud, Viktor Adler, and Arnold Schoenberg, he forged his ideas in a classical revolt against the stuffy, doomed, and moralistic lives of the old regime. As a portrait of Wittgenstein, the book is superbly realized; it is even better as a portrait of the age, with dazzling and unusual parallels to our own confused society. Allan Janik and Stephen Toulmin have acted on a striking premise: an understanding of prewar Vienna, Wittgenstein s native city, will make it easier to comprehend both his work and our own problems .This is an independent work containing much that is challenging, new, and useful. New York Times Book Review.""",,,UNLABELLED
B031,"An adventure inspired by mythology, gods, and legendary heroes",How to Read Literature Like a Professor,Thomas C. Foster,"What does it mean when a fictional hero takes a journey?. Shares a meal? Gets drenched in a sudden rain shower? Often, there is much more going on in a novel or poem than is readily visible on the surface—a symbol, maybe, that remains elusive, or an unexpected twist on a character—and there's that sneaking suspicion that the deeper meaning of a literary text keeps escaping you. In this practical and amusing guide to literature, Thomas C. Foster shows how easy and gratifying it is to unlock those hidden truths, and to discover a world where a road leads to a quest; a shared meal may signify a communion; and rain, whether cleansing or destructive, is never just rain. Ranging from major themes to literary models, narrative devices, and form, How to Read Literature Like a Professor is the perfect companion for making your reading experience more enriching, satisfying, and fun.",,,UNLABELLED
B032,"An adventure inspired by mythology, gods, and legendary heroes",Undaunted Courage,Stephen E. Ambrose,"'This was much more than a bunch of guys out on an exploring and collecting expedition. This was a military expedition into hostile territory'. In 1803 President Thomas Jefferson selected his personal secretary, Captain Meriwether Lewis, to lead a pioneering voyage across the Great Plains and into the Rockies. It was completely uncharted territory; a wild, vast land ruled by the Indians. Charismatic and brave, Lewis was the perfect choice and he experienced the savage North American continent before any other white man. UNDAUNTED COURAGE is the tale of a hero, but it is also a tragedy. Lewis may have received a hero's welcome on his return to Washington in 1806, but his discoveries did not match the president's fantasies of sweeping, fertile plains ripe for the taking. Feeling the expedition had been a failure, Lewis took to drink and piled up debts. Full of colourful characters - Jefferson, the president obsessed with conquering the west; William Clark, the rugged frontiersman; Sacagawea, the Indian girl who accompanied the expedition; Drouillard, the French-Indian hunter - this is one of the great adventure stories of all time and it shot to the top of the US bestseller charts. Drama, suspense, danger and diplomacy combine with romance and personal tragedy making UNDAUNTED COURAGE an outstanding work of scholarship and a thrilling adventure.",,,UNLABELLED
B033,A story about a complicated relationship between a parent and child,Caucasia,Danzy Senna,"A debut novel explores the complications of race through the story of two daughters--one light-skinned and the other dark-skinned--of a black father and a white mother, who become torn apart by racial allegiances. Reprint.",,,UNLABELLED
B034,"A thoughtful book about inequality, poverty, and how society distributes wealth",Driving Force,Dick Francis,"When a hitchhiker picked up by one of his drivers is later found murdered, ex-jockey Freddie Croft, the owner of a profitable fleet of horse vans, is drawn into the mystery.",,,UNLABELLED
B035,A fantasy adventure involving magic and dangerous journeys,Gulliver's Travels,Jonathan Swift;Claude Rawson;Ian Higgins,"""Gulliver's travels purports to be a travel book. It is a blend of fantasy and realism and describes the shipwrecked Gulliver's encounters with the inhabitants of four places: Lilliput, Brobdingnag, Laputa, and the country of the Houyhnhnms""--Provided byp",,,UNLABELLED
B036,A suspenseful story involving crime and investigation,The Hidden Hand,Carroll John Daly,"Private investigator Race Williams is approached by a larger detective agency to help hunt down a criminal gang leader, but he turns down the deal because he prefers to work solo. Somehow word leaks out that he's on the case, and an assassin is put on his tail.",,,UNLABELLED
B037,"An adventure inspired by mythology, gods, and legendary heroes",Sirens and Sea Monsters,Mary Pope Osborne,"Odysseus and his men have done what no other mortals have done: returned alive from the terrifying Land of the Dead. Armed with warnings and advice from the ghosts of the prophet Tiresias, Odysseus is determined to finally sail home to Ithaca. But the enchantress Circe tells him that the Greeks will face even more horrors on their journey, including an encounter with Scylla, the six-headed monster, and Charybdis, the deadly whirlpool. Who will survive these terrors-and how? In this third of six books based on episodes from Homer's Odyssey, Mary Pope Osborne continues the exciting adventures of one of the greatest heroes of all time.",,,UNLABELLED
B038,A story about forgiveness and redemption,An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,An adaptation of the original story follows the activities of seven children in nineteenth-century New England as they prepare for the Thanksgiving holiday while Mother is away caring for Grandmother.,,,UNLABELLED
B039,"A book about leadership, teamwork, and building effective organizations",Jean Rhys,Carl Plasa,"In this Reader's Guide, Carl Plasa provides a comprehensive survey and analysis of the most stimulating critical responses to Wide Sargasso Sea. The opening chapter outlines initial reactions to the novel from English and Caribbean critics, charting the differences between them. Chapter Two explores Wide Sargasso Sea 's dialogue with Jane Eyre and the theoretical questions it has raised. Succeeding chapters examine how critics have assessed the racial politics of Rhys's text, discuss the novel's African Caribbean cultural legacy, and explore how critics read the work both in terms of its moment of production and the early Victorian period in which it is set.",,,UNLABELLED
B040,A story about forgiveness and redemption,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,Robin Sharma,"Wisdom to Create a Life of Passion, Purpose, and Peace This inspiring tale provides a step-by-step approach to living with greater courage, balance, abundance, and joy. A wonderfully crafted fable, The Monk Who Sold His Ferrari tells the extraordinary story of Julian Mantle, a lawyer forced to confront the spiritual crisis of his out-of-balance life. On a life-changing odyssey to an ancient culture, he discovers powerful, wise, and practical lessons that teach us to: Develop joyful thoughts Follow our life's mission and calling Cultivate self-discipline and act courageously Value time as our most important commodity Nourish our relationships, and – live fully, one day at a time A FABLE ABOUT FULFILLING YOUR DREAMS AND REACHING YOUR DESTINY",,,UNLABELLED
B041,"A moving story about grief, loss, and learning to live again",A Tree Grows in Brooklyn,Betty Smith,"The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.",,,UNLABELLED
B042,A story about a complicated relationship between a parent and child,The Kindness of Strangers,Katrina Kittle,"A young widow raising two boys, Sarah Laden is struggling to keep her family together. But when a shocking revelation rips apart the family of her closest friend, Sarah finds herself welcoming yet another troubled young boy into her already tumultuous life. Jordan, a quiet, reclusive elementary school classmate of Sarah's son Danny, has survived a terrible ordeal. By agreeing to become Jordan's foster mother, Sarah will be forced to question the things she has long believed. And as the delicate threads that bind their family begin to unravel, all the Ladens will have to face difficult truths about themselves and one another—and discover the power of love necessary to forgive and to heal.",,,UNLABELLED
B043,A dystopian story about authoritarian control and resistance,The Rattle-Rat,Janwillem Van de Wetering,"Investigating a murder in his parents' remote homeland of Friesland, Detective Adjutant Grijpstra gets nowhere working within established police guidelines--yet his assistant de Gier uncovers vital clues while learning about Friesian culture",,,UNLABELLED
B044,"A thoughtful book about inequality, poverty, and how society distributes wealth",Outsiders Within,Jane Jeong Trenka;Julia Chinyere Oparah;Sun Yung Shin,"""Explores transracial adoption from adopted adults' perspectives using memoir, reflective/analytical essays, poetry, artwork, film critique, psychology, sociology, critical race, reproductive justice, more. Discusses reasons children become available forinternational adoption (war, poverty, structural inequities), ramifications of the colorblind ideal for adoptees (dealing with racism, cultural alienation, emotional isolation)""--Provided by publisher.",,,UNLABELLED
B045,A book about personal growth and finding purpose,Get Out of Your Mind & Into Your Life,Steven C. Hayes;Spencer Xavier Smith,"Features step-by step mindfulness and acceptance exercises for effective relief from emotional pain. This book develops acceptance and commitment therapy (ACT), a revolutionary direction in psychotherapy, into step-by-step exercises that readers can use to get relief from emotional pain.",,,UNLABELLED
B046,A story about a complicated relationship between a parent and child,The Curious Incident of the Dog in the Night-time,Mark Haddon,"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother.",,,UNLABELLED
B047,A story about a complicated relationship between a parent and child,Death of an Addict,M. C. Beaton,"From the author of the Agatha Raisin television series...DEATH OF AN ADDICT: A Hamish Macbeth MysteryFormer drug addict Tommy Jarret rents a Scottish chalet to check out reports of a sea monster. But when he is found dead of an apparent drug overdose, constable Hamish Macbeth suspects foul play. Teaming with Glasgow Detective Inspector Olivia Chater, Macbeth goes undercover and dives into the underworld to root out a cartel secretly entrenched in the Highlands.",,,UNLABELLED
B048,A historical book about war and political conflict,Bosnia,Noel Malcolm,This work aims to set the war in the Balkans in its full historical and political context. This edition includes a chapter covering the events between 1993 and 1995.,,,UNLABELLED
B049,"An adventure inspired by mythology, gods, and legendary heroes",The Lure of the Basilisk,Lawrence Watt-Evans,The overman named Garth sought immortal fame. The oracle told him to serve the Forgotten King to get that fame. But this King sent Garth after a basilisk whose gaze could turn men to stone. What sane use could anyone have for a monster like that?,,,UNLABELLED
B050,A historical book about war and political conflict,History of Political Philosophy,Leo Strauss;Joseph Cropsey,"This volume provides an unequaled introduction to the thought of chief contributors to the Western tradition of political philosophy from classical Greek antiquity to the twentieth century. Written by specialists on the various philosophers, this third edition has been expanded significantly to include both new and revised essays.",,,UNLABELLED
B051,A suspenseful story involving crime and investigation,Sex For Dummies,Sabine Walter,"Does Viagra work for women? What are the side effects from using Uprema? And what the heck is Zonagen? If you thought sex hasn't changed much over the years you have a lot to learn, and Dr. Ruth is the one to tell you all about it! Dr. Ruth is back with a new edition that tackles the hottest, most current sexual issues. Updated material includes expanded coverage of medical concerns, from prostate cancer and Viagra to birth control and sexually transmitted diseases. In addition, expert advice cuts through the medical jargon and presents the latest and most comprehensive information on AIDS – with new statistics and research to current treatments. New and updated illustrations supplement no-nonsense advice on everything from puberty to procreation, and expanded coverage of cybersex resources offers tips for exploring sex on the Internet to enhance understanding and increase enjoyment while protecting kids from inappropriate web sites. Sex For Dummies, 2nd Edition provides you with the information you need to make smart choices about your sexuality.",,,UNLABELLED
B052,A story about forgiveness and redemption,Yesterday I Cried,Iyanla Vanzant,"The National Bestseller What is the lesson in abuse, neglect, abandonment, rejection? What is the lesson when you lose someone you really love? Just what are the lessons of life's hard times? Bestselling author Iyanla Vanzant has had an amazing and difficult life -- one of great challenges that unmasked her wonderful gifts and led to wisdom gained. In this simple book, she uses her own personal experiences to show how life's hardships can be re-languaged and revisioned to become lessons that teach us as we grow, heal, and learn to love. The pain of the past does not have to be today's reality. Iyanla Vanzant is an example of how yesterday's tears become the seeds of today's hope, renewal, and strength.",,,UNLABELLED
B053,A fantasy adventure involving magic and dangerous journeys,Firedrake,Richard A. Knaak,"The New York Timesbestselling fantasy author Richard A. Knaak brings to print an epic realm of magic and intrigue! In a land ruled by the shape-lifting Dragon Kings, Cabe Bedlam is hunted for both the legacy he represents and the future he may bring. Yet, dragons may be the least of the dangers, for in a land drenched with sorcery, Cabe's very legacy may be what destroys him!",,,UNLABELLED
B054,A beginner-friendly book explaining astronomy and the universe,Astronomy,Dinah L. Moché,"""A lively, up-to-date account of the basic principles of astronomy and exciting current field of research.""-Science Digest For a quarter of a century, Astronomy: A Self-Teaching Guide has been making students and amateur stargazers alike feel at home among the stars. From stars, planets and galaxies, to black holes, the Big Bang and life in space, this title has been making it easy for beginners to quickly grasp the basic concepts of astronomy for over 25 years. Updated with the latest discoveries in astronomy and astrophysics, this newest edition of Dinah Moch?'s classic guide now includes many Web site addresses for spectacular images and news. And like all previous editions, it is packed with valuable tables, charts, star and moon maps and features simple activities that reinforce readers' grasp of basic concepts at their own pace, as well as objectives, reviews, and self-tests to monitor their progress. Dinah L. Moch?, PhD (Rye, NY), is an award-winning author, educator, and lecturer. Her books have sold over nine million copies in seven languages.",,,UNLABELLED
B055,A fantasy adventure involving magic and dangerous journeys,Drum Calls,Jo Clayton,"Once every generation, the two worlds of Clandair and Iomard magically move together, allowing people with special talents to walk between the worlds, but when young Cymel sees a strange wizard hovering in the air, she realizes the danger that threatens. Reprint.",,,UNLABELLED
B056,A fantasy adventure involving magic and dangerous journeys,Philosophy of Mind,David John Chalmers,"This is a comprehensive collection of readings in the philosophy of mind, ranging from Descartes to the leading edge of the discipline. Extensive selections cover foundations, the nature of consciousness, and the nature of mental content.",,,UNLABELLED
B057,"A book about leadership, teamwork, and building effective organizations",Contemporary Political Philosophy,Will Kymlicka,"""This new edition of Will Kymlicka's best selling critical introduction to contemporary political theory has been fully revised to include many of the most significant developments in Anglo-American political philosophy in the last 11 years, particularly the new debates on political liberalism, deliberative democracy, civic republicanism, nationalism, and cultural pluralism."" ""The book now includes two new chapters on citizenship theory and multiculturalism, in addition to updated chapters on utilitarianism, liberal egalitarianism, libertarianism, Marxism, communitarianism, and feminism. Extended guides to further reading have been added at the end of each chapter, listing the most important books and articles on each school of thought, as well as relevant journals and web sites.""--BOOK JACKET.",,,UNLABELLED
B058,A dystopian story about authoritarian control and resistance,The Autumn of the Patriarch,Gabriel Garcia Marquez,"One of Gabriel García Márquez's most intricate and ambitious works, The Autumn of the Patriarch is a brilliant tale of a Caribbean tyrant and the corruption of power. From charity to deceit, benevolence to violence, fear of God to extreme cruelty, the dictator of The Autumn of the Patriarch embodies the best and the worst of human nature. Gabriel García Márquez, the renowned master of magical realism, vividly portrays the dying tyrant caught in the prison of his own dictator-ship. Employing an innovative, dreamlike style, and overflowing with symbolic descriptions, the novel transports the reader to a world that is at once fanciful and real.",,,UNLABELLED
B059,A suspenseful story involving crime and investigation,Chop Shop,Tim Downs,"Intern forensic pathologist Dr. Riley McKay has noticed irregularities in autopsies at the Allegheny County Coroner's lab. Suspecting foul play, she seeks help from Dr. Nick Polchak, the ""bug man"" renowned for his ability to solve murders by analyzing the insects on victim's bodies. Nick and Riley uncover a sinister link between the lab's director and PharmaGen, a start-up drug company specializing in genetic research. They also discover that PharmaGen fronts an underground system to procure transplant organs for wealthy clients by finding and murdering matching donors. But PharmaGen learns of their security breach and orders the couple destroyed. While staying a step ahead of PharmaGen assassins, romantic attraction develops between Nick and Riley. But the attraction is complicated by a tragic secret that Riley hides -- a secret closely tied to one member of PharmaGen's operation which propels the novel to its astonishing conclusion.",,,UNLABELLED
B060,A beginner-friendly book explaining astronomy and the universe,See how She Dies,Lisa Jackson,"First published in 1994 as ""Treasures,"" the first novel of romantic suspense by the ""New York Times"" bestselling author of ""Whispers"" is now retitled, repackaged, and rewritten to include more suspense, intrigue, and atmosphere. Original.",,,UNLABELLED
